Team_1,Team_2,Winner,Margin,Ground,Match Date
Afghanistan,Australia,Australia,66 runs,Sharjah,"Aug 25, 2012"
England,South Africa,South Africa,80 runs,Southampton,"Aug 28, 2012"
Australia,Pakistan,Australia,4 wickets,Sharjah,"Aug 28, 2012"
England,South Africa,England,4 wickets,The Oval,"Aug 31, 2012"
Australia,Pakistan,Pakistan,7 wickets,Abu Dhabi,"Aug 31, 2012"
England,South Africa,England,6 wickets,Lord's,"Sep 2, 2012"
Australia,Pakistan,Australia,3 wickets,Sharjah,"Sep 3, 2012"
England,South Africa,South Africa,7 wickets,Nottingham,"Sep 5, 2012"
Sri Lanka,New Zealand,Sri Lanka,14 runs,Pallekele,"Nov 4, 2012"
Sri Lanka,New Zealand,Sri Lanka,7 wickets,Pallekele,"Nov 6, 2012"
Sri Lanka,New Zealand,Sri Lanka,7 wickets,Hambantota,"Nov 10, 2012"
Sri Lanka,New Zealand,no result,,Hambantota,"Nov 12, 2012"
Bangladesh,West Indies,Bangladesh,7 wickets,Khulna,"Nov 30, 2012"
Bangladesh,West Indies,Bangladesh,160 runs,Khulna,"Dec 2, 2012"
Bangladesh,West Indies,West Indies,4 wickets,Dhaka,"Dec 5, 2012"
Bangladesh,West Indies,West Indies,75 runs,Dhaka,"Dec 7, 2012"
Bangladesh,West Indies,Bangladesh,2 wickets,Dhaka,"Dec 8, 2012"
India,Pakistan,Pakistan,6 wickets,Chennai,"Dec 30, 2012"
India,Pakistan,Pakistan,85 runs,Kolkata,"Jan 3, 2013"
India,Pakistan,India,10 runs,Delhi,"Jan 6, 2013"
Australia,Sri Lanka,Australia,107 runs,Melbourne,"Jan 11, 2013"
India,England,England,9 runs,Rajkot,"Jan 11, 2013"
Australia,Sri Lanka,Sri Lanka,8 wickets,Adelaide,"Jan 13, 2013"
India,England,India,127 runs,Kochi,"Jan 15, 2013"
Australia,Sri Lanka,Sri Lanka,4 wickets,Brisbane,"Jan 18, 2013"
India,England,India,7 wickets,Ranchi,"Jan 19, 2013"
South Africa,New Zealand,New Zealand,1 wicket,Paarl,"Jan 19, 2013"
Australia,Sri Lanka,no result,,Sydney,"Jan 20, 2013"
South Africa,New Zealand,New Zealand,27 runs,Kimberley,"Jan 22, 2013"
Australia,Sri Lanka,Australia,32 runs,Hobart,"Jan 23, 2013"
India,England,India,5 wickets,Mohali,"Jan 23, 2013"
South Africa,New Zealand,South Africa,1 wicket,Potchefstroom,"Jan 25, 2013"
India,England,England,7 wickets,Dharamsala,"Jan 27, 2013"
Australia,West Indies,Australia,9 wickets,Perth,"Feb 1, 2013"
Australia,West Indies,Australia,54 runs,Perth,"Feb 3, 2013"
Australia,West Indies,Australia,39 runs,Canberra,"Feb 6, 2013"
Australia,West Indies,Australia,5 wickets,Sydney,"Feb 8, 2013"
Australia,West Indies,Australia,17 runs,Melbourne,"Feb 10, 2013"
New Zealand,England,New Zealand,3 wickets,Hamilton,"Feb 17, 2013"
New Zealand,England,England,8 wickets,Napier,"Feb 20, 2013"
West Indies,Zimbabwe,West Indies,156 runs,St George's,"Feb 22, 2013"
New Zealand,England,England,5 wickets,Auckland,"Feb 23, 2013"
West Indies,Zimbabwe,West Indies,7 wickets,St George's,"Feb 24, 2013"
West Indies,Zimbabwe,West Indies,5 wickets,St George's,"Feb 26, 2013"
Afghanistan,Scotland,Afghanistan,7 wickets,Sharjah,"Mar 6, 2013"
Afghanistan,Scotland,Afghanistan,5 wickets,Sharjah,"Mar 8, 2013"
South Africa,Pakistan,South Africa,125 runs,Bloemfontein,"Mar 10, 2013"
Canada,Kenya,Kenya,6 wickets,ICCA Dubai,"Mar 11, 2013"
Canada,Kenya,Kenya,6 wickets,ICCA Dubai,"Mar 13, 2013"
South Africa,Pakistan,Pakistan,6 wickets,Centurion,"Mar 15, 2013"
South Africa,Pakistan,South Africa,34 runs,Johannesburg,"Mar 17, 2013"
South Africa,Pakistan,Pakistan,3 wickets,Durban,"Mar 21, 2013"
Sri Lanka,Bangladesh,Sri Lanka,8 wickets,Hambantota,"Mar 23, 2013"
South Africa,Pakistan,South Africa,6 wickets,Benoni,"Mar 24, 2013"
Sri Lanka,Bangladesh,no result,,Hambantota,"Mar 25, 2013"
Sri Lanka,Bangladesh,Bangladesh,3 wickets,Pallekele,"Mar 28, 2013"
Zimbabwe,Bangladesh,Bangladesh,121 runs,Bulawayo,"May 3, 2013"
Zimbabwe,Bangladesh,Zimbabwe,6 wickets,Bulawayo,"May 5, 2013"
Zimbabwe,Bangladesh,Zimbabwe,7 wickets,Bulawayo,"May 8, 2013"
Scotland,Pakistan,Pakistan,96 runs,Edinburgh,"May 17, 2013"
Ireland,Pakistan,tied,,Dublin,"May 23, 2013"
Ireland,Pakistan,Pakistan,2 wickets,Dublin,"May 26, 2013"
Netherlands,South Africa,South Africa,83 runs,Amstelveen,"May 31, 2013"
England,New Zealand,New Zealand,5 wickets,Lord's,"May 31, 2013"
England,New Zealand,New Zealand,86 runs,Southampton,"Jun 2, 2013"
England,New Zealand,England,34 runs,Nottingham,"Jun 5, 2013"
India,South Africa,India,26 runs,Cardiff,"Jun 6, 2013"
Pakistan,West Indies,West Indies,2 wickets,The Oval,"Jun 7, 2013"
England,Australia,England,48 runs,Birmingham,"Jun 8, 2013"
New Zealand,Sri Lanka,New Zealand,1 wicket,Cardiff,"Jun 9, 2013"
Pakistan,South Africa,South Africa,67 runs,Birmingham,"Jun 10, 2013"
India,West Indies,India,8 wickets,The Oval,"Jun 11, 2013"
Australia,New Zealand,no result,,Birmingham,"Jun 12, 2013"
England,Sri Lanka,Sri Lanka,7 wickets,The Oval,"Jun 13, 2013"
South Africa,West Indies,tied,,Cardiff,"Jun 14, 2013"
India,Pakistan,India,8 wickets,Birmingham,"Jun 15, 2013"
England,New Zealand,England,10 runs,Cardiff,"Jun 16, 2013"
Australia,Sri Lanka,Sri Lanka,20 runs,The Oval,"Jun 17, 2013"
England,South Africa,England,7 wickets,The Oval,"Jun 19, 2013"
India,Sri Lanka,India,8 wickets,Cardiff,"Jun 20, 2013"
England,India,India,5 runs,Birmingham,"Jun 23, 2013"
West Indies,Sri Lanka,West Indies,6 wickets,Kingston,"Jun 28, 2013"
Scotland,Kenya,Scotland,12 runs,Aberdeen,"Jun 30, 2013"
West Indies,India,West Indies,1 wicket,Kingston,"Jun 30, 2013"
Scotland,Kenya,Scotland,4 wickets,Aberdeen,"Jul 2-3, 2013"
India,Sri Lanka,Sri Lanka,161 runs,Kingston,"Jul 2, 2013"
West Indies,India,India,102 runs,Port of Spain,"Jul 5, 2013"
Netherlands,Ireland,Ireland,88 runs,Amstelveen,"Jul 7, 2013"
West Indies,Sri Lanka,Sri Lanka,39 runs,Port of Spain,"Jul 7-8, 2013"
Netherlands,Ireland,tied,,Amstelveen,"Jul 9, 2013"
India,Sri Lanka,India,81 runs,Port of Spain,"Jul 9, 2013"
India,Sri Lanka,India,1 wicket,Port of Spain,"Jul 11, 2013"
West Indies,Pakistan,Pakistan,126 runs,Providence,"Jul 14, 2013"
West Indies,Pakistan,West Indies,37 runs,Providence,"Jul 16, 2013"
West Indies,Pakistan,tied,,Gros Islet,"Jul 19, 2013"
Sri Lanka,South Africa,Sri Lanka,180 runs,Colombo (RPS),"Jul 20, 2013"
West Indies,Pakistan,Pakistan,6 wickets,Gros Islet,"Jul 21, 2013"
Sri Lanka,South Africa,Sri Lanka,17 runs,Colombo (RPS),"Jul 23, 2013"
Zimbabwe,India,India,6 wickets,Harare,"Jul 24, 2013"
West Indies,Pakistan,Pakistan,4 wickets,Gros Islet,"Jul 24, 2013"
Zimbabwe,India,India,58 runs,Harare,"Jul 26, 2013"
Sri Lanka,South Africa,South Africa,56 runs,Pallekele,"Jul 26, 2013"
Zimbabwe,India,India,7 wickets,Harare,"Jul 28, 2013"
Sri Lanka,South Africa,Sri Lanka,8 wickets,Pallekele,"Jul 28, 2013"
Sri Lanka,South Africa,Sri Lanka,128 runs,Colombo (RPS),"Jul 31, 2013"
Zimbabwe,India,India,9 wickets,Bulawayo,"Aug 1, 2013"
Zimbabwe,India,India,7 wickets,Bulawayo,"Aug 3, 2013"
Zimbabwe,Pakistan,Zimbabwe,7 wickets,Harare,"Aug 27, 2013"
Canada,Netherlands,no result,,King City (NW),"Aug 27-28, 2013"
Zimbabwe,Pakistan,Pakistan,90 runs,Harare,"Aug 29, 2013"
Canada,Netherlands,Netherlands,9 wickets,King City (NW),"Aug 29, 2013"
Zimbabwe,Pakistan,Pakistan,108 runs,Harare,"Aug 31, 2013"
Ireland,England,England,6 wickets,Dublin (Malahide),"Sep 3, 2013"
Scotland,Australia,Australia,200 runs,Edinburgh,"Sep 3, 2013"
Ireland,Scotland,Ireland,1 wicket,Belfast,"Sep 6, 2013"
England,Australia,Australia,88 runs,Manchester,"Sep 8, 2013"
Ireland,Scotland,Ireland,7 wickets,Belfast,"Sep 8, 2013"
England,Australia,no result,,Birmingham,"Sep 11, 2013"
England,Australia,England,3 wickets,Cardiff,"Sep 14, 2013"
England,Australia,Australia,49 runs,Southampton,"Sep 16, 2013"
Afghanistan,Kenya,Afghanistan,8 wickets,Sharjah,"Oct 2, 2013"
Afghanistan,Kenya,Afghanistan,7 wickets,Sharjah,"Oct 4, 2013"
India,Australia,Australia,72 runs,Pune,"Oct 13, 2013"
India,Australia,India,9 wickets,Jaipur,"Oct 16, 2013"
India,Australia,Australia,4 wickets,Mohali,"Oct 19, 2013"
India,Australia,no result,,Ranchi,"Oct 23, 2013"
Bangladesh,New Zealand,Bangladesh,43 runs,Dhaka,"Oct 29, 2013"
India,Australia,India,6 wickets,Nagpur,"Oct 30, 2013"
Pakistan,South Africa,South Africa,1 run,Sharjah,"Oct 30, 2013"
Bangladesh,New Zealand,Bangladesh,40 runs,Dhaka,"Oct 31, 2013"
Pakistan,South Africa,Pakistan,66 runs,Dubai (DSC),"Nov 1, 2013"
India,Australia,India,57 runs,Bengaluru,"Nov 2, 2013"
Bangladesh,New Zealand,Bangladesh,4 wickets,Fatullah,"Nov 3, 2013"
Pakistan,South Africa,South Africa,68 runs,Abu Dhabi,"Nov 6, 2013"
Pakistan,South Africa,South Africa,28 runs,Abu Dhabi,"Nov 8, 2013"
Sri Lanka,New Zealand,no result,,Hambantota,"Nov 10, 2013"
Pakistan,South Africa,South Africa,117 runs,Sharjah,"Nov 11, 2013"
Sri Lanka,New Zealand,New Zealand,4 wickets,Hambantota,"Nov 12, 2013"
Sri Lanka,New Zealand,Sri Lanka,36 runs,Dambulla,"Nov 16, 2013"
India,West Indies,India,6 wickets,Kochi,"Nov 21, 2013"
India,West Indies,West Indies,2 wickets,Visakhapatnam,"Nov 24, 2013"
South Africa,Pakistan,Pakistan,23 runs,Cape Town,"Nov 24, 2013"
India,West Indies,India,5 wickets,Kanpur,"Nov 27, 2013"
South Africa,Pakistan,Pakistan,1 run,Port Elizabeth,"Nov 27, 2013"
South Africa,Pakistan,South Africa,4 wickets,Centurion,"Nov 30, 2013"
South Africa,India,South Africa,141 runs,Johannesburg,"Dec 5, 2013"
South Africa,India,South Africa,134 runs,Durban,"Dec 8, 2013"
South Africa,India,no result,,Centurion,"Dec 11, 2013"
Pakistan,Sri Lanka,Pakistan,11 runs,Sharjah,"Dec 18, 2013"
Pakistan,Sri Lanka,Sri Lanka,2 wickets,Dubai (DSC),"Dec 20, 2013"
Pakistan,Sri Lanka,Pakistan,113 runs,Sharjah,"Dec 22, 2013"
Pakistan,Sri Lanka,Pakistan,8 wickets,Abu Dhabi,"Dec 25, 2013"
New Zealand,West Indies,West Indies,2 wickets,Auckland,"Dec 26, 2013"
Pakistan,Sri Lanka,Sri Lanka,2 wickets,Abu Dhabi,"Dec 27, 2013"
New Zealand,West Indies,New Zealand,159 runs,Queenstown,"Jan 1, 2014"
New Zealand,West Indies,New Zealand,58 runs,Nelson,"Jan 4, 2014"
New Zealand,West Indies,West Indies,203 runs,Hamilton,"Jan 8, 2014"
Australia,England,Australia,6 wickets,Melbourne,"Jan 12, 2014"
Australia,England,Australia,1 wicket,Brisbane,"Jan 17, 2014"
New Zealand,India,New Zealand,24 runs,Napier,"Jan 19, 2014"
Australia,England,Australia,7 wickets,Sydney,"Jan 19, 2014"
New Zealand,India,New Zealand,15 runs,Hamilton,"Jan 22, 2014"
Canada,Scotland,Scotland,170 runs,Christchurch,"Jan 23, 2014"
Kenya,Netherlands,Kenya,4 wickets,Lincoln,"Jan 23, 2014"
Australia,England,England,57 runs,Perth,"Jan 24, 2014"
New Zealand,India,tied,,Auckland,"Jan 25, 2014"
Australia,England,Australia,5 runs,Adelaide,"Jan 26, 2014"
Canada,Netherlands,Netherlands,8 wickets,Mount Maunganui,"Jan 28, 2014"
New Zealand,India,New Zealand,7 wickets,Hamilton,"Jan 28, 2014"
Kenya,Scotland,Scotland,3 wickets,Christchurch,"Jan 30, 2014"
New Zealand,India,New Zealand,87 runs,Wellington,"Jan 31, 2014"
Scotland,U.A.E.,Scotland,41 runs,Lincoln,"Feb 1, 2014"
Bangladesh,Sri Lanka,Sri Lanka,13 runs,Dhaka,"Feb 17, 2014"
Bangladesh,Sri Lanka,Sri Lanka,61 runs,Dhaka,"Feb 20, 2014"
Bangladesh,Sri Lanka,Sri Lanka,6 wickets,Dhaka,"Feb 22, 2014"
West Indies,Ireland,West Indies,4 wickets,Kingston,"Feb 23, 2014"
Pakistan,Sri Lanka,Sri Lanka,12 runs,Fatullah,"Feb 25, 2014"
Bangladesh,India,India,6 wickets,Fatullah,"Feb 26, 2014"
Afghanistan,Pakistan,Pakistan,72 runs,Fatullah,"Feb 27, 2014"
India,Sri Lanka,Sri Lanka,2 wickets,Fatullah,"Feb 28, 2014"
West Indies,England,West Indies,15 runs,North Sound,"Feb 28, 2014"
Bangladesh,Afghanistan,Afghanistan,32 runs,Fatullah,"Mar 1, 2014"
India,Pakistan,Pakistan,1 wicket,Dhaka,"Mar 2, 2014"
West Indies,England,England,3 wickets,North Sound,"Mar 2, 2014"
Afghanistan,Sri Lanka,Sri Lanka,129 runs,Dhaka,"Mar 3, 2014"
Bangladesh,Pakistan,Pakistan,3 wickets,Dhaka,"Mar 4, 2014"
Afghanistan,India,India,8 wickets,Dhaka,"Mar 5, 2014"
West Indies,England,England,25 runs,North Sound,"Mar 5, 2014"
Bangladesh,Sri Lanka,Sri Lanka,3 wickets,Dhaka,"Mar 6, 2014"
Pakistan,Sri Lanka,Sri Lanka,5 wickets,Dhaka,"Mar 8, 2014"
Afghanistan,Hong Kong,Afghanistan,6 wickets,Kuala Lumpur,"May 1, 2014"
Afghanistan,U.A.E.,Afghanistan,70 runs,Kuala Lumpur,"May 2, 2014"
Hong Kong,U.A.E.,U.A.E.,2 wickets,Kuala Lumpur,"May 4, 2014"
Ireland,Sri Lanka,Sri Lanka,79 runs,Dublin,"May 6, 2014"
Scotland,England,England,39 runs,Aberdeen,"May 9, 2014"
England,Sri Lanka,England,81 runs,The Oval,"May 22, 2014"
England,Sri Lanka,Sri Lanka,157 runs,Chester-le-Street,"May 25, 2014"
England,Sri Lanka,England,10 wickets,Manchester,"May 28, 2014"
England,Sri Lanka,Sri Lanka,7 runs,Lord's,"May 31, 2014"
England,Sri Lanka,Sri Lanka,6 wickets,Birmingham,"Jun 3, 2014"
Bangladesh,India,India,7 wickets,Dhaka,"Jun 15, 2014"
Bangladesh,India,India,47 runs,Dhaka,"Jun 17, 2014"
Bangladesh,India,no result,,Dhaka,"Jun 19, 2014"
Sri Lanka,South Africa,South Africa,75 runs,Colombo (RPS),"Jul 6, 2014"
Sri Lanka,South Africa,Sri Lanka,87 runs,Pallekele,"Jul 9, 2014"
Sri Lanka,South Africa,South Africa,82 runs,Hambantota,"Jul 12, 2014"
Zimbabwe,Afghanistan,Zimbabwe,6 wickets,Bulawayo,"Jul 18, 2014"
Zimbabwe,Afghanistan,Zimbabwe,8 wickets,Bulawayo,"Jul 20, 2014"
Zimbabwe,Afghanistan,Afghanistan,2 wickets,Bulawayo,"Jul 22, 2014"
Zimbabwe,Afghanistan,Afghanistan,100 runs,Bulawayo,"Jul 24, 2014"
Zimbabwe,South Africa,South Africa,93 runs,Bulawayo,"Aug 17, 2014"
Zimbabwe,South Africa,South Africa,61 runs,Bulawayo,"Aug 19, 2014"
West Indies,Bangladesh,West Indies,3 wickets,St George's,"Aug 20, 2014"
Zimbabwe,South Africa,South Africa,7 wickets,Bulawayo,"Aug 21, 2014"
West Indies,Bangladesh,West Indies,177 runs,St George's,"Aug 22, 2014"
Sri Lanka,Pakistan,Pakistan,4 wickets,Hambantota,"Aug 23, 2014"
Zimbabwe,Australia,Australia,198 runs,Harare,"Aug 25, 2014"
West Indies,Bangladesh,West Indies,91 runs,Basseterre,"Aug 25, 2014"
Sri Lanka,Pakistan,Sri Lanka,77 runs,Hambantota,"Aug 26, 2014"
Australia,South Africa,South Africa,7 wickets,Harare,"Aug 27, 2014"
England,India,India,133 runs,Cardiff,"Aug 27, 2014"
Zimbabwe,South Africa,South Africa,61 runs,Harare,"Aug 29, 2014"
Sri Lanka,Pakistan,Sri Lanka,7 wickets,Dambulla,"Aug 30, 2014"
England,India,India,6 wickets,Nottingham,"Aug 30, 2014"
Zimbabwe,Australia,Zimbabwe,3 wickets,Harare,"Aug 31, 2014"
Australia,South Africa,Australia,62 runs,Harare,"Sep 2, 2014"
England,India,India,9 wickets,Birmingham,"Sep 2, 2014"
Zimbabwe,South Africa,South Africa,63 runs,Harare,"Sep 4, 2014"
England,India,England,41 runs,Leeds,"Sep 5, 2014"
Australia,South Africa,South Africa,6 wickets,Harare,"Sep 6, 2014"
Ireland,Scotland,Ireland,7 wickets,Dublin (Malahide),"Sep 8, 2014"
Ireland,Scotland,Ireland,3 wickets,Dublin (Malahide),"Sep 10, 2014"
Ireland,Scotland,Scotland,8 wickets,Dublin (Malahide),"Sep 12, 2014"
Australia,Pakistan,Australia,93 runs,Sharjah,"Oct 7, 2014"
India,West Indies,West Indies,124 runs,Kochi,"Oct 8, 2014"
Australia,Pakistan,Australia,5 wickets,Dubai (DSC),"Oct 10, 2014"
India,West Indies,India,48 runs,Delhi,"Oct 11, 2014"
Australia,Pakistan,Australia,1 run,Abu Dhabi,"Oct 12, 2014"
India,West Indies,India,59 runs,Dharamsala,"Oct 17, 2014"
New Zealand,South Africa,South Africa,6 wickets,Mount Maunganui,"Oct 21, 2014"
New Zealand,South Africa,South Africa,72 runs,Mount Maunganui,"Oct 24, 2014"
New Zealand,South Africa,no result,,Hamilton,"Oct 27, 2014"
India,Sri Lanka,India,169 runs,Cuttack,"Nov 2, 2014"
India,Sri Lanka,India,6 wickets,Ahmedabad,"Nov 6, 2014"
Hong Kong,P.N.G.,P.N.G.,4 wickets,Townsville,"Nov 8, 2014"
Hong Kong,P.N.G.,P.N.G.,3 wickets,Townsville,"Nov 9, 2014"
India,Sri Lanka,India,6 wickets,Hyderabad (Deccan),"Nov 9, 2014"
India,Sri Lanka,India,153 runs,Kolkata,"Nov 13, 2014"
Australia,South Africa,Australia,32 runs,Perth,"Nov 14, 2014"
Australia,South Africa,South Africa,3 wickets,Perth,"Nov 16, 2014"
India,Sri Lanka,India,3 wickets,Ranchi,"Nov 16, 2014"
Australia,South Africa,Australia,73 runs,Canberra,"Nov 19, 2014"
Australia,South Africa,Australia,3 wickets,Melbourne,"Nov 21, 2014"
Bangladesh,Zimbabwe,Bangladesh,87 runs,Chittagong,"Nov 21, 2014"
Australia,South Africa,Australia,2 wickets,Sydney,"Nov 23, 2014"
Bangladesh,Zimbabwe,Bangladesh,68 runs,Chittagong,"Nov 23, 2014"
Bangladesh,Zimbabwe,Bangladesh,124 runs,Dhaka,"Nov 26, 2014"
Sri Lanka,England,Sri Lanka,25 runs,Colombo (RPS),"Nov 26, 2014"
Bangladesh,Zimbabwe,Bangladesh,21 runs,Dhaka,"Nov 28, 2014"
U.A.E.,Afghanistan,U.A.E.,5 wickets,ICCA Dubai,"Nov 28, 2014"
Sri Lanka,England,Sri Lanka,8 wickets,Colombo (RPS),"Nov 29, 2014"
U.A.E.,Afghanistan,U.A.E.,6 wickets,ICCA Dubai,"Nov 30, 2014"
Bangladesh,Zimbabwe,Bangladesh,5 wickets,Dhaka,"Dec 1, 2014"
U.A.E.,Afghanistan,Afghanistan,2 wickets,ICCA Dubai,"Dec 2, 2014"
Sri Lanka,England,England,5 wickets,Hambantota,"Dec 3, 2014"
U.A.E.,Afghanistan,U.A.E.,30 runs,ICCA Dubai,"Dec 4, 2014"
Sri Lanka,England,Sri Lanka,6 wickets,Colombo (RPS),"Dec 7, 2014"
New Zealand,Pakistan,Pakistan,3 wickets,Dubai (DSC),"Dec 8, 2014"
Sri Lanka,England,England,5 wickets,Pallekele,"Dec 10-11, 2014"
New Zealand,Pakistan,New Zealand,4 wickets,Sharjah,"Dec 12, 2014"
Sri Lanka,England,Sri Lanka,90 runs,Pallekele,"Dec 13, 2014"
New Zealand,Pakistan,Pakistan,147 runs,Sharjah,"Dec 14, 2014"
Sri Lanka,England,Sri Lanka,87 runs,Colombo (RPS),"Dec 16, 2014"
New Zealand,Pakistan,New Zealand,7 runs,Abu Dhabi,"Dec 17, 2014"
New Zealand,Pakistan,New Zealand,68 runs,Abu Dhabi,"Dec 19, 2014"
Afghanistan,Scotland,Afghanistan,8 wickets,ICCA Dubai,"Jan 8, 2015"
Afghanistan,Ireland,Ireland,3 wickets,Dubai (DSC),"Jan 10, 2015"
New Zealand,Sri Lanka,New Zealand,3 wickets,Christchurch,"Jan 11, 2015"
Ireland,Scotland,Ireland,3 wickets,Dubai (DSC),"Jan 12, 2015"
Afghanistan,Scotland,Scotland,150 runs,Abu Dhabi,"Jan 14, 2015"
New Zealand,Sri Lanka,Sri Lanka,6 wickets,Hamilton,"Jan 15, 2015"
Australia,England,Australia,3 wickets,Sydney,"Jan 16, 2015"
South Africa,West Indies,South Africa,61 runs,Durban,"Jan 16, 2015"
New Zealand,Sri Lanka,no result,,Auckland,"Jan 17, 2015"
Afghanistan,Ireland,Afghanistan,71 runs,Dubai (DSC),"Jan 17, 2015"
Australia,India,Australia,4 wickets,Melbourne,"Jan 18, 2015"
South Africa,West Indies,South Africa,148 runs,Johannesburg,"Jan 18, 2015"
Ireland,Scotland,no result,,ICCA Dubai,"Jan 19, 2015"
New Zealand,Sri Lanka,New Zealand,4 wickets,Nelson,"Jan 20, 2015"
England,India,England,9 wickets,Brisbane,"Jan 20, 2015"
South Africa,West Indies,South Africa,9 wickets,East London,"Jan 21, 2015"
New Zealand,Sri Lanka,New Zealand,108 runs,Dunedin,"Jan 23, 2015"
Australia,England,Australia,3 wickets,Hobart,"Jan 23, 2015"
New Zealand,Sri Lanka,New Zealand,120 runs,Dunedin,"Jan 25, 2015"
South Africa,West Indies,West Indies,1 wicket,Port Elizabeth,"Jan 25, 2015"
Australia,India,no result,,Sydney,"Jan 26, 2015"
South Africa,West Indies,South Africa,131 runs,Centurion,"Jan 28, 2015"
New Zealand,Sri Lanka,Sri Lanka,34 runs,Wellington,"Jan 29, 2015"
England,India,England,3 wickets,Perth,"Jan 30, 2015"
New Zealand,Pakistan,New Zealand,7 wickets,Wellington,"Jan 31, 2015"
Australia,England,Australia,112 runs,Perth,"Feb 1, 2015"
New Zealand,Pakistan,New Zealand,119 runs,Napier,"Feb 3, 2015"
New Zealand,Sri Lanka,New Zealand,98 runs,Christchurch,"Feb 14, 2015"
Australia,England,Australia,111 runs,Melbourne,"Feb 14, 2015"
South Africa,Zimbabwe,South Africa,62 runs,Hamilton,"Feb 15, 2015"
India,Pakistan,India,76 runs,Adelaide,"Feb 15, 2015"
Ireland,West Indies,Ireland,4 wickets,Nelson,"Feb 16, 2015"
New Zealand,Scotland,New Zealand,3 wickets,Dunedin,"Feb 17, 2015"
Afghanistan,Bangladesh,Bangladesh,105 runs,Canberra,"Feb 18, 2015"
U.A.E.,Zimbabwe,Zimbabwe,4 wickets,Nelson,"Feb 19, 2015"
New Zealand,England,New Zealand,8 wickets,Wellington,"Feb 20, 2015"
Pakistan,West Indies,West Indies,150 runs,Christchurch,"Feb 21, 2015"
Afghanistan,Sri Lanka,Sri Lanka,4 wickets,Dunedin,"Feb 22, 2015"
India,South Africa,India,130 runs,Melbourne,"Feb 22, 2015"
England,Scotland,England,119 runs,Christchurch,"Feb 23, 2015"
West Indies,Zimbabwe,West Indies,73 runs,Canberra,"Feb 24, 2015"
Ireland,U.A.E.,Ireland,2 wickets,Brisbane,"Feb 25, 2015"
Afghanistan,Scotland,Afghanistan,1 wicket,Dunedin,"Feb 26, 2015"
Bangladesh,Sri Lanka,Sri Lanka,92 runs,Melbourne,"Feb 26, 2015"
South Africa,West Indies,South Africa,257 runs,Sydney,"Feb 27, 2015"
New Zealand,Australia,New Zealand,1 wicket,Auckland,"Feb 28, 2015"
India,U.A.E.,India,9 wickets,Perth,"Feb 28, 2015"
England,Sri Lanka,Sri Lanka,9 wickets,Wellington,"Mar 1, 2015"
Pakistan,Zimbabwe,Pakistan,20 runs,Brisbane,"Mar 1, 2015"
Ireland,South Africa,South Africa,201 runs,Canberra,"Mar 3, 2015"
Pakistan,U.A.E.,Pakistan,129 runs,Napier,"Mar 4, 2015"
Australia,Afghanistan,Australia,275 runs,Perth,"Mar 4, 2015"
Bangladesh,Scotland,Bangladesh,6 wickets,Nelson,"Mar 5, 2015"
India,West Indies,India,4 wickets,Perth,"Mar 6, 2015"
Pakistan,South Africa,Pakistan,29 runs,Auckland,"Mar 7, 2015"
Ireland,Zimbabwe,Ireland,5 runs,Hobart,"Mar 7, 2015"
New Zealand,Afghanistan,New Zealand,6 wickets,Napier,"Mar 8, 2015"
Australia,Sri Lanka,Australia,64 runs,Sydney,"Mar 8, 2015"
Bangladesh,England,Bangladesh,15 runs,Adelaide,"Mar 9, 2015"
India,Ireland,India,8 wickets,Hamilton,"Mar 10, 2015"
Scotland,Sri Lanka,Sri Lanka,148 runs,Hobart,"Mar 11, 2015"
South Africa,U.A.E.,South Africa,146 runs,Wellington,"Mar 12, 2015"
New Zealand,Bangladesh,New Zealand,3 wickets,Hamilton,"Mar 13, 2015"
Afghanistan,England,England,9 wickets,Sydney,"Mar 13, 2015"
India,Zimbabwe,India,6 wickets,Auckland,"Mar 14, 2015"
Australia,Scotland,Australia,7 wickets,Hobart,"Mar 14, 2015"
U.A.E.,West Indies,West Indies,6 wickets,Napier,"Mar 15, 2015"
Ireland,Pakistan,Pakistan,7 wickets,Adelaide,"Mar 15, 2015"
South Africa,Sri Lanka,South Africa,9 wickets,Sydney,"Mar 18, 2015"
Bangladesh,India,India,109 runs,Melbourne,"Mar 19, 2015"
Australia,Pakistan,Australia,6 wickets,Adelaide,"Mar 20, 2015"
New Zealand,West Indies,New Zealand,143 runs,Wellington,"Mar 21, 2015"
New Zealand,South Africa,New Zealand,4 wickets,Auckland,"Mar 24, 2015"
Australia,India,Australia,95 runs,Sydney,"Mar 26, 2015"
Australia,New Zealand,Australia,7 wickets,Melbourne,"Mar 29, 2015"
Bangladesh,Pakistan,Bangladesh,79 runs,Dhaka,"Apr 17, 2015"
Bangladesh,Pakistan,Bangladesh,7 wickets,Dhaka,"Apr 19, 2015"
Bangladesh,Pakistan,Bangladesh,8 wickets,Dhaka,"Apr 22, 2015"
Ireland,England,no result,,Dublin (Malahide),"May 8, 2015"
Pakistan,Zimbabwe,Pakistan,41 runs,Lahore,"May 26, 2015"
Pakistan,Zimbabwe,Pakistan,6 wickets,Lahore,"May 29, 2015"
Pakistan,Zimbabwe,no result,,Lahore,"May 31, 2015"
England,New Zealand,England,210 runs,Birmingham,"Jun 9, 2015"
England,New Zealand,New Zealand,13 runs,The Oval,"Jun 12, 2015"
England,New Zealand,New Zealand,3 wickets,Southampton,"Jun 14, 2015"
